date,campaign_name,cost,purchases,conv_value,impressions,clicks,ctr,cpm,frequency,add_to_cart
2026-05-02,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,688.43,66,4499.57,261857,2006,0.0077,2.629,1.5591,220
2026-05-02,ASUC-(ALL)-PERF-KIDS-INTER,337.43,44,2638.99,103722,1109,0.0107,3.2532,1.3793,130
2026-05-02,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,325.91,24,1458.69,61438,899,0.0146,5.3047,2.8101,144
2026-05-02,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,77.83,8,609.56,16879,206,0.0122,4.6111,1.2928,28
2026-05-02,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,63.09,3,152,13459,175,0.013,4.6876,1.2316,9
2026-05-02,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,322.72,22,1357.5,109125,847,0.0078,2.9573,1.3245,82
2026-05-02,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,293.56,35,3063.3,24602,527,0.0214,11.9324,1.8547,132
2026-05-02,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,162.84,11,535.95,64846,799,0.0123,2.5112,1.5544,58
2026-05-02,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,204.82,19,960.97,46221,913,0.0198,4.4313,1.8572,76
2026-05-02,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,286.95,10,823.84,47699,452,0.0095,6.0158,1.6731,51
2026-05-02,ASUC-(HISTO)-UK-(UK)-PERF-RTG,227.46,17,1205.53,20967,423,0.0202,10.8485,1.8913,55
2026-05-02,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,246.97,10,832.8,21907,144,0.0066,11.2736,1.6828,18
2026-05-02,ASUC-(HISTO)-US-(US)-PERF-RTG,279.99,8,753.86,16605,361,0.0217,16.8618,1.8497,36
2026-05-02,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,14.1,2,133.88,1545,20,0.0129,9.1262,1.1228,1
2026-05-02,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,9.14,null,null,749,20,0.0267,12.2029,1.5768,2
2026-05-02,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,59.67,4,411.5,15860,186,0.0117,3.7623,1.2985,41
2026-05-02,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,38.89,4,142,4961,91,0.0183,7.8391,1.5814,24
2026-05-02,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,103.87,9,600,47148,421,0.0089,2.2031,1.285,25
2026-05-02,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,38.6,6,464.5,7797,151,0.0194,4.9506,1.9153,17
2026-05-02,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,31.68,null,null,4521,90,0.0199,7.0073,1.2056,10
2026-05-02,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,35.65,2,253.23,4546,83,0.0183,7.8421,1.6812,18
2026-05-02,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,74.04,3,118,62431,1140,0.0183,1.1859,1.3458,29
2026-05-02,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,57.11,4,260,30617,774,0.0253,1.8653,1.7284,42
2026-05-02,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,77.5,1,50.5,34880,379,0.0109,2.2219,1.2304,9
2026-05-02,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,37.41,1,35.5,9171,150,0.0164,4.0792,1.656,15
2026-05-02,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,109.88,5,290.5,71586,913,0.0128,1.5349,1.2943,18
2026-05-02,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,74.53,7,396,23480,433,0.0184,3.1742,1.9127,55
2026-05-02,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,7.31,1,107.37,2207,27,0.0122,3.3122,1.1376,3
2026-05-02,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,5.86,null,null,1729,18,0.0104,3.3892,1.331,4
2026-05-02,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,5.54,null,null,1017,18,0.0177,5.4474,1.003,null
2026-05-02,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,4.95,null,null,677,9,0.0133,7.3117,1.3069,null
2026-05-02,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,14.44,null,null,3585,50,0.0139,4.0279,1.2083,2
2026-05-02,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,25.15,1,50.5,3058,50,0.0164,8.2243,1.4802,5
2026-05-02,ASUC-(NEW)-PERF-RTG-WARM-ROW,46.76,3,226.95,12561,236,0.0188,3.7226,1.6081,28
2026-05-02,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,10.56,null,null,4268,59,0.0138,2.4742,1.2191,4
2026-05-02,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,10.16,null,null,2377,52,0.0219,4.2743,1.4363,6
2026-05-02,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,18.11,null,null,13289,99,0.0074,1.3628,1.2492,6
2026-05-02,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,8.36,1,45,2783,36,0.0129,3.004,1.295,4
2026-05-02,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,6.73,2,352.62,1560,22,0.0141,4.3141,1.0894,5
2026-05-02,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,3.21,null,null,433,7,0.0162,7.4134,1.2661,null
2026-05-02,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,168.47,9,674.51,32658,359,0.011,5.1586,1.2164,34
2026-05-02,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,158.24,11,1005.48,15105,286,0.0189,10.476,1.95,37
2026-05-03,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,682.24,83,5086.43,264062,1921,0.0073,2.5836,1.5263,219
2026-05-03,ASUC-(ALL)-PERF-KIDS-INTER,514.48,55,2903.04,179765,1756,0.0098,2.862,1.443,193
2026-05-03,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,325.44,38,2544.41,58780,854,0.0145,5.5366,2.9042,150
2026-05-03,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,87.72,9,499.79,20689,233,0.0113,4.2399,1.3409,21
2026-05-03,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,57.35,3,210.09,11125,170,0.0153,5.1551,1.2801,18
2026-05-03,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,334.9,16,1261.86,105403,801,0.0076,3.1773,1.3464,66
2026-05-03,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,322.7,32,2265.58,27027,575,0.0213,11.9399,1.811,121
2026-05-03,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,172.6,11,457.94,82328,943,0.0115,2.0965,1.4137,51
2026-05-03,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,212.06,15,986.98,46814,933,0.0199,4.5298,1.8857,87
2026-05-03,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,318.16,8,511.11,54579,501,0.0092,5.8293,1.7092,24
2026-05-03,ASUC-(HISTO)-UK-(UK)-PERF-RTG,226.83,9,501.33,19614,438,0.0223,11.5647,1.932,35
2026-05-03,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,289.29,3,256.49,25473,132,0.0052,11.3567,1.5917,7
2026-05-03,ASUC-(HISTO)-US-(US)-PERF-RTG,314.13,12,1190.3,18179,320,0.0176,17.2798,1.8592,70
2026-05-03,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,16.85,1,50.97,1871,27,0.0144,9.0059,1.1857,null
2026-05-03,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,10.93,1,104.39,822,30,0.0365,13.2968,1.5539,4
2026-05-03,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,61.9,8,774,13349,197,0.0148,4.6371,1.2196,37
2026-05-03,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,46.36,6,298,5842,90,0.0154,7.9356,1.6067,26
2026-05-03,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,118.51,8,511.5,48213,447,0.0093,2.4581,1.3031,34
2026-05-03,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,42.21,6,471.5,8502,180,0.0212,4.9647,2.0209,27
2026-05-03,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,35.47,2,151.46,4702,88,0.0187,7.5436,1.229,5
2026-05-03,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,36.91,4,359.54,4062,75,0.0185,9.0867,1.7404,23
2026-05-03,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,70.11,4,246,58266,1032,0.0177,1.2033,1.402,41
2026-05-03,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,58.45,4,169,28616,689,0.0241,2.0426,1.7665,40
2026-05-03,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,90.13,7,324,38724,392,0.0101,2.3275,1.2675,13
2026-05-03,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,40.29,2,176,10088,163,0.0162,3.9939,1.8144,9
2026-05-03,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,116.45,14,797,66256,810,0.0122,1.7576,1.3925,43
2026-05-03,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,84.04,9,768.24,23586,433,0.0184,3.5631,1.9467,55
2026-05-03,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,9.29,1,66.09,2897,31,0.0107,3.2068,1.1533,1
2026-05-03,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,6.67,1,214.93,1834,21,0.0115,3.6369,1.4097,4
2026-05-03,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,6.01,1,54.13,1003,18,0.0179,5.992,1.0716,2
2026-05-03,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,6.44,null,null,699,26,0.0372,9.2132,1.2968,null
2026-05-03,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,14.76,null,null,3705,43,0.0116,3.9838,1.189,12
2026-05-03,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,28.37,2,76,3334,61,0.0183,8.5093,1.6184,11
2026-05-03,ASUC-(NEW)-PERF-RTG-WARM-ROW,50.23,2,77.13,12443,222,0.0178,4.0368,1.602,29
2026-05-03,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,11.75,1,36.02,4349,53,0.0122,2.7018,1.2004,2
