date,campaign_name,purchases_new
2026-04-27,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,3
2026-04-27,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,null
2026-04-27,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,10
2026-04-27,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,null
2026-04-27,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,null
2026-04-27,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,2
2026-04-27,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,10
2026-04-27,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,2
2026-04-27,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,null
2026-04-27,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-04-27,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,null
2026-04-27,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-04-27,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,1
2026-04-27,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,1
2026-04-27,ASUC-(NEW)-PERF-RTG-WARM-ROW,1
2026-04-27,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,1
2026-04-27,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,null
2026-04-27,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,3
2026-04-27,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,null
2026-04-27,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,1
2026-04-27,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,null
2026-04-27,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,7
2026-04-27,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,4
2026-04-28,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,27
2026-04-28,ASUC-(ALL)-PERF-KIDS-INTER,17
