date,campaign_name,landing_page_views,initiate_checkout
2026-04-27,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,43,
2026-04-27,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,417,
2026-04-27,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,258,
2026-04-27,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,73,
2026-04-27,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,78,
2026-04-27,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,348,
2026-04-27,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,223,
2026-04-27,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,10,
2026-04-27,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,21,
2026-04-27,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,2,
2026-04-27,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,10,
2026-04-27,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,35,
2026-04-27,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,35,
2026-04-27,ASUC-(NEW)-PERF-RTG-WARM-ROW,166,
2026-04-27,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,60,
2026-04-27,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,31,
2026-04-27,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,28,
2026-04-27,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,26,
2026-04-27,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,18,
2026-04-27,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,11,
2026-04-27,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,86,
2026-04-27,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,127,
2026-04-28,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,242,19
2026-04-28,ASUC-(ALL)-PERF-KIDS-INTER,328,16
2026-04-28,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,306,20
2026-04-28,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,43,2
2026-04-28,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,32,
